region,city,center_name,center_type,patient,organ,subtype,number,year
Lombardia,Bergamo,BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,SOT+HCT,adult only,Polmone,Polmone,6,2010
Lombardia,Milano,MI - AO NIGUARDA CA' GRANDA - MILANO,SOT+HCT,adult only,Polmone,Polmone,0,2010
Lombardia,Milano,MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,SOT+HCT,adult only,Polmone,Polmone,2,2010
Lombardia,Pavia,PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,SOT+HCT,adult+pediatric,Polmone,Polmone,5,2010
Veneto,Padova,PD - AZIENDA OSPEDALIERA DI PADOVA,SOT+HCT,adult+pediatric,Polmone,Polmone,7,2010
Emilia-Romagna,Bologna,BO - S.ORSOLA-MALPIGHI - BO,SOT+HCT,adult+pediatric,Polmone,Polmone,0,2010
Toscana,Siena,SI - A.O.U. SENESE - S.M. alle SCOTTE,SOT+HCT,adult only,Polmone,Polmone,6,2010
Lazio,Roma,RM - POLICLINICO UMBERTO I - ROMA,SOT+HCT,adult only,Polmone,Polmone,3,2010
Sicilia,Palermo,PA - Is.Me.T.T.,SOT only,adult+pediatric,Polmone,Polmone,3,2010
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Polmone,Polmone doppio,10,2010
Lombardia,Bergamo,BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,SOT+HCT,adult only,Polmone,Polmone doppio,7,2010
Lombardia,Milano,MI - AO NIGUARDA CA' GRANDA - MILANO,SOT+HCT,adult only,Polmone,Polmone doppio,3,2010
Lombardia,Milano,MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,SOT+HCT,adult only,Polmone,Polmone doppio,8,2010
Lombardia,Pavia,PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,SOT+HCT,adult+pediatric,Polmone,Polmone doppio,3,2010
Veneto,Padova,PD - AZIENDA OSPEDALIERA DI PADOVA,SOT+HCT,adult+pediatric,Polmone,Polmone doppio,18,2010
Emilia-Romagna,Bologna,BO - S.ORSOLA-MALPIGHI - BO,SOT+HCT,adult+pediatric,Polmone,Polmone doppio,1,2010
Toscana,Siena,SI - A.O.U. SENESE - S.M. alle SCOTTE,SOT+HCT,adult only,Polmone,Polmone doppio,3,2010
Lazio,Roma,RM - POLICLINICO UMBERTO I - ROMA,SOT+HCT,adult only,Polmone,Polmone doppio,4,2010
Sicilia,Palermo,PA - Is.Me.T.T.,SOT only,adult+pediatric,Polmone,Polmone doppio,9,2010
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Polmone,Cuore - polmone doppio,0,2010
Lombardia,Bergamo,BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,SOT+HCT,adult only,Polmone,Cuore - polmone doppio,0,2010
Lombardia,Milano,MI - AO NIGUARDA CA' GRANDA - MILANO,SOT+HCT,adult only,Polmone,Cuore - polmone doppio,0,2010
Lombardia,Milano,MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,SOT+HCT,adult only,Polmone,Cuore - polmone doppio,0,2010
Lombardia,Pavia,PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,SOT+HCT,adult+pediatric,Polmone,Cuore - polmone doppio,3,2010
Veneto,Padova,PD - AZIENDA OSPEDALIERA DI PADOVA,SOT+HCT,adult+pediatric,Polmone,Cuore - polmone doppio,0,2010
Emilia-Romagna,Bologna,BO - S.ORSOLA-MALPIGHI - BO,SOT+HCT,adult+pediatric,Polmone,Cuore - polmone doppio,1,2010
Toscana,Siena,SI - A.O.U. SENESE - S.M. alle SCOTTE,SOT+HCT,adult only,Polmone,Cuore - polmone doppio,0,2010
Lazio,Roma,RM - POLICLINICO UMBERTO I - ROMA,SOT+HCT,adult only,Polmone,Cuore - polmone doppio,0,2010
Sicilia,Palermo,PA - Is.Me.T.T.,SOT only,adult+pediatric,Polmone,Cuore - polmone doppio,0,2010
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Pancreas,Pancreas,1,2010
Lombardia,Bergamo,BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,SOT+HCT,adult only,Pancreas,Pancreas,0,2010
Lombardia,Milano,MI - AO NIGUARDA CA' GRANDA - MILANO,SOT+HCT,adult only,Pancreas,Pancreas,1,2010
Lombardia,Milano,MI - IRCCS S. RAFFAELE - MILANO,SOT+HCT,adult+pediatric,Pancreas,Pancreas,7,2010
Veneto,Padova,PD - AZIENDA OSPEDALIERA DI PADOVA,SOT+HCT,adult+pediatric,Pancreas,Pancreas,0,2010
Friuli Venezia Giulia,Udine,UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,SOT+HCT,adult only,Pancreas,Pancreas,0,2010
Liguria,Genova,GE - A.O.U. S. MARTINO - GENOVA,SOT+HCT,adult only,Pancreas,Pancreas,0,2010
Emilia-Romagna,Bologna,BO - S.ORSOLA-MALPIGHI - BO,SOT+HCT,adult+pediatric,Pancreas,Pancreas,0,2010
Emilia-Romagna,Parma,PR - OSPEDALE MAGGIORE - PARMA,SOT+HCT,adult only,Pancreas,Pancreas,0,2010
Toscana,Pisa,PI - A.O.U. PISANA,SOT+HCT,adult+pediatric,Pancreas,Pancreas,7,2010
Marche,Ancona,AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,SOT+HCT,adult only,Pancreas,Pancreas,0,2010
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Pancreas,Pancreas - intestino,0,2010
Lombardia,Bergamo,BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,SOT+HCT,adult only,Pancreas,Pancreas - intestino,1,2010
Lombardia,Milano,MI - AO NIGUARDA CA' GRANDA - MILANO,SOT+HCT,adult only,Pancreas,Pancreas - intestino,0,2010
Lombardia,Milano,MI - IRCCS S. RAFFAELE - MILANO,SOT+HCT,adult+pediatric,Pancreas,Pancreas - intestino,0,2010
Veneto,Padova,PD - AZIENDA OSPEDALIERA DI PADOVA,SOT+HCT,adult+pediatric,Pancreas,Pancreas - intestino,0,2010
Friuli Venezia Giulia,Udine,UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,SOT+HCT,adult only,Pancreas,Pancreas - intestino,0,2010
Liguria,Genova,GE - A.O.U. S. MARTINO - GENOVA,SOT+HCT,adult only,Pancreas,Pancreas - intestino,0,2010
Emilia-Romagna,Bologna,BO - S.ORSOLA-MALPIGHI - BO,SOT+HCT,adult+pediatric,Pancreas,Pancreas - intestino,0,2010
Emilia-Romagna,Parma,PR - OSPEDALE MAGGIORE - PARMA,SOT+HCT,adult only,Pancreas,Pancreas - intestino,0,2010
Toscana,Pisa,PI - A.O.U. PISANA,SOT+HCT,adult+pediatric,Pancreas,Pancreas - intestino,0,2010
Marche,Ancona,AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,SOT+HCT,adult only,Pancreas,Pancreas - intestino,0,2010
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Pancreas,Rene - pancreas,2,2010
Lombardia,Bergamo,BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,SOT+HCT,adult only,Pancreas,Rene - pancreas,1,2010
Lombardia,Milano,MI - AO NIGUARDA CA' GRANDA - MILANO,SOT+HCT,adult only,Pancreas,Rene - pancreas,0,2010
Lombardia,Milano,MI - IRCCS S. RAFFAELE - MILANO,SOT+HCT,adult+pediatric,Pancreas,Rene - pancreas,4,2010
Veneto,Padova,PD - AZIENDA OSPEDALIERA DI PADOVA,SOT+HCT,adult+pediatric,Pancreas,Rene - pancreas,6,2010
Friuli Venezia Giulia,Udine,UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,SOT+HCT,adult only,Pancreas,Rene - pancreas,2,2010
Liguria,Genova,GE - A.O.U. S. MARTINO - GENOVA,SOT+HCT,adult only,Pancreas,Rene - pancreas,3,2010
Emilia-Romagna,Bologna,BO - S.ORSOLA-MALPIGHI - BO,SOT+HCT,adult+pediatric,Pancreas,Rene - pancreas,0,2010
Emilia-Romagna,Parma,PR - OSPEDALE MAGGIORE - PARMA,SOT+HCT,adult only,Pancreas,Rene - pancreas,1,2010
Toscana,Pisa,PI - A.O.U. PISANA,SOT+HCT,adult+pediatric,Pancreas,Rene - pancreas,7,2010
Marche,Ancona,AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,SOT+HCT,adult only,Pancreas,Rene - pancreas,1,2010
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Pancreas,Fegato - pancreas,1,2010
Lombardia,Bergamo,BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,SOT+HCT,adult only,Pancreas,Fegato - pancreas,0,2010
Lombardia,Milano,MI - AO NIGUARDA CA' GRANDA - MILANO,SOT+HCT,adult only,Pancreas,Fegato - pancreas,0,2010
Lombardia,Milano,MI - IRCCS S. RAFFAELE - MILANO,SOT+HCT,adult+pediatric,Pancreas,Fegato - pancreas,0,2010
Veneto,Padova,PD - AZIENDA OSPEDALIERA DI PADOVA,SOT+HCT,adult+pediatric,Pancreas,Fegato - pancreas,0,2010
Friuli Venezia Giulia,Udine,UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,SOT+HCT,adult only,Pancreas,Fegato - pancreas,0,2010
Liguria,Genova,GE - A.O.U. S. MARTINO - GENOVA,SOT+HCT,adult only,Pancreas,Fegato - pancreas,0,2010
Emilia-Romagna,Bologna,BO - S.ORSOLA-MALPIGHI - BO,SOT+HCT,adult+pediatric,Pancreas,Fegato - pancreas,0,2010
Emilia-Romagna,Parma,PR - OSPEDALE MAGGIORE - PARMA,SOT+HCT,adult only,Pancreas,Fegato - pancreas,0,2010
Toscana,Pisa,PI - A.O.U. PISANA,SOT+HCT,adult+pediatric,Pancreas,Fegato - pancreas,0,2010
Marche,Ancona,AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,SOT+HCT,adult only,Pancreas,Fegato - pancreas,0,2010
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Pancreas,Rene - fegato - pancreas,0,2010
Lombardia,Bergamo,BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,SOT+HCT,adult only,Pancreas,Rene - fegato - pancreas,1,2010
Lombardia,Milano,MI - AO NIGUARDA CA' GRANDA - MILANO,SOT+HCT,adult only,Pancreas,Rene - fegato - pancreas,0,2010
Lombardia,Milano,MI - IRCCS S. RAFFAELE - MILANO,SOT+HCT,adult+pediatric,Pancreas,Rene - fegato - pancreas,0,2010
Veneto,Padova,PD - AZIENDA OSPEDALIERA DI PADOVA,SOT+HCT,adult+pediatric,Pancreas,Rene - fegato - pancreas,0,2010
Friuli Venezia Giulia,Udine,UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,SOT+HCT,adult only,Pancreas,Rene - fegato - pancreas,0,2010
Liguria,Genova,GE - A.O.U. S. MARTINO - GENOVA,SOT+HCT,adult only,Pancreas,Rene - fegato - pancreas,0,2010
Emilia-Romagna,Bologna,BO - S.ORSOLA-MALPIGHI - BO,SOT+HCT,adult+pediatric,Pancreas,Rene - fegato - pancreas,0,2010
Emilia-Romagna,Parma,PR - OSPEDALE MAGGIORE - PARMA,SOT+HCT,adult only,Pancreas,Rene - fegato - pancreas,0,2010
Toscana,Pisa,PI - A.O.U. PISANA,SOT+HCT,adult+pediatric,Pancreas,Rene - fegato - pancreas,0,2010
Marche,Ancona,AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,SOT+HCT,adult only,Pancreas,Rene - fegato - pancreas,0,2010
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Pancreas,Fegato - pancreas - intestino,0,2010
Lombardia,Bergamo,BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,SOT+HCT,adult only,Pancreas,Fegato - pancreas - intestino,0,2010
Lombardia,Milano,MI - AO NIGUARDA CA' GRANDA - MILANO,SOT+HCT,adult only,Pancreas,Fegato - pancreas - intestino,0,2010
Lombardia,Milano,MI - IRCCS S. RAFFAELE - MILANO,SOT+HCT,adult+pediatric,Pancreas,Fegato - pancreas - intestino,0,2010
Veneto,Padova,PD - AZIENDA OSPEDALIERA DI PADOVA,SOT+HCT,adult+pediatric,Pancreas,Fegato - pancreas - intestino,0,2010
Friuli Venezia Giulia,Udine,UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,SOT+HCT,adult only,Pancreas,Fegato - pancreas - intestino,0,2010
Liguria,Genova,GE - A.O.U. S. MARTINO - GENOVA,SOT+HCT,adult only,Pancreas,Fegato - pancreas - intestino,0,2010
Emilia-Romagna,Bologna,BO - S.ORSOLA-MALPIGHI - BO,SOT+HCT,adult+pediatric,Pancreas,Fegato - pancreas - intestino,1,2010
Emilia-Romagna,Parma,PR - OSPEDALE MAGGIORE - PARMA,SOT+HCT,adult only,Pancreas,Fegato - pancreas - intestino,0,2010
Toscana,Pisa,PI - A.O.U. PISANA,SOT+HCT,adult+pediatric,Pancreas,Fegato - pancreas - intestino,0,2010
Marche,Ancona,AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,SOT+HCT,adult only,Pancreas,Fegato - pancreas - intestino,0,2010
Lombardia,Bergamo,BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,SOT+HCT,adult only,Intestino,Intestino,1,2010
Emilia-Romagna,Bologna,BO - S.ORSOLA-MALPIGHI - BO,SOT+HCT,adult+pediatric,Intestino,Intestino,2,2010
Lazio,Roma,RM - OSPEDALE PEDIATRICO BAMBINO GESU',SOT+HCT,pediatric only,Intestino,Intestino,1,2010
Lombardia,Bergamo,BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,SOT+HCT,adult only,Intestino,Pancreas - intestino,1,2010
Emilia-Romagna,Bologna,BO - S.ORSOLA-MALPIGHI - BO,SOT+HCT,adult+pediatric,Intestino,Pancreas - intestino,0,2010
Lazio,Roma,RM - OSPEDALE PEDIATRICO BAMBINO GESU',SOT+HCT,pediatric only,Intestino,Pancreas - intestino,0,2010
Lombardia,Bergamo,BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,SOT+HCT,adult only,Intestino,Fegato - pancreas - intestino,0,2010
Emilia-Romagna,Bologna,BO - S.ORSOLA-MALPIGHI - BO,SOT+HCT,adult+pediatric,Intestino,Fegato - pancreas - intestino,1,2010
Lazio,Roma,RM - OSPEDALE PEDIATRICO BAMBINO GESU',SOT+HCT,pediatric only,Intestino,Fegato - pancreas - intestino,0,2010
Piemonte,Novara,NO - AOU MAGGIORE DELLA CARITA' - NOVARA,SOT only,adult only,Rene,Rene,61,2011
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Rene,Rene,6,2011
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Rene,Rene,87,2011
Lombardia,Bergamo,BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,SOT+HCT,adult only,Rene,Rene,33,2011
Lombardia,Brescia,BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,SOT+HCT,adult+pediatric,Rene,Rene,54,2011
Lombardia,Milano,MI - AO NIGUARDA CA' GRANDA - MILANO,SOT+HCT,adult only,Rene,Rene,45,2011
Lombardia,Milano,MI - IRCCS S. RAFFAELE - MILANO,SOT+HCT,adult+pediatric,Rene,Rene,28,2011
Lombardia,Milano,MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,SOT+HCT,adult only,Rene,Rene,49,2011
Lombardia,Pavia,PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,SOT+HCT,adult+pediatric,Rene,Rene,28,2011
Lombardia,Varese,VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,SOT only,adult only,Rene,Rene,47,2011
Veneto,Padova,PD - AZIENDA OSPEDALIERA DI PADOVA,SOT+HCT,adult+pediatric,Rene,Rene,68,2011
Veneto,Treviso,TV - OSPEDALE CA' FONCELLO - TREVISO,SOT only,adult only,Rene,Rene,39,2011
Veneto,Vicenza,VI - OSPEDALE DI VICENZA,SOT+HCT,adult only,Rene,Rene,21,2011
Veneto,Verona,VR - OSPEDALE CIVILE MAGGIORE - VERONA,SOT+HCT,adult+pediatric,Rene,Rene,46,2011
Friuli Venezia Giulia,Udine,UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,SOT+HCT,adult only,Rene,Rene,49,2011
Friuli Venezia Giulia,Udine,UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,SOT+HCT,adult only,Rene,Rene,0,2011
Liguria,Genova,GE - A.O.U. S. MARTINO - GENOVA,SOT+HCT,adult only,Rene,Rene,49,2011
Emilia-Romagna,Bologna,BO - S.ORSOLA-MALPIGHI - BO,SOT+HCT,adult+pediatric,Rene,Rene,42,2011
Emilia-Romagna,Modena,MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,SOT+HCT,adult only,Rene,Rene,28,2011
Emilia-Romagna,Parma,PR - OSPEDALE MAGGIORE - PARMA,SOT+HCT,adult only,Rene,Rene,33,2011
Toscana,Firenze,FI - A.O.U. CAREGGI - FIRENZE,SOT+HCT,adult only,Rene,Rene,40,2011
Toscana,Pisa,PI - A.O.U. PISANA,SOT+HCT,adult+pediatric,Rene,Rene,14,2011
Toscana,Siena,SI - A.O.U. SENESE - S.M. alle SCOTTE,SOT+HCT,adult only,Rene,Rene,49,2011
Umbria,Perugia,PG - AZIENDA OSPEDALIERA DI PERUGIA,SOT+HCT,adult+pediatric,Rene,Rene,14,2011
Marche,Ancona,AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,SOT+HCT,adult only,Rene,Rene,33,2011
Lazio,Roma,RM - A.O. SAN CAMILLO - FORLANINI,SOT+HCT,adult only,Rene,Rene,30,2011
Lazio,Roma,RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,SOT+HCT,adult only,Rene,Rene,30,2011
Lazio,Roma,RM - OSPEDALE PEDIATRICO BAMBINO GESU',SOT+HCT,pediatric only,Rene,Rene,7,2011
Lazio,Roma,RM - POLICLINICO UMBERTO I - ROMA,SOT+HCT,adult only,Rene,Rene,18,2011
Lazio,Roma,RM - POLICLINICO UMBERTO I - ROMA,SOT+HCT,adult only,Rene,Rene,6,2011
Lazio,Roma,RM - POLICLINICO UNIVERSITARIO A. GEMELLI,SOT+HCT,adult only,Rene,Rene,32,2011
Abruzzo,L’Aquila,AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,SOT only,adult only,Rene,Rene,18,2011
Campania,Napoli,NA - AZIENDA OSPEDALIERA A. CARDARELLI,SOT+HCT,adult only,Rene,Rene,0,2011
Campania,Napoli,NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,SOT+HCT,adult only,Rene,Rene,16,2011
Campania,Salerno,SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SOT+HCT,adult only,Rene,Rene,42,2011
Puglia,Bari,BA - AOU CONSORZIALE POLICLINICO di BARI,SOT+HCT,adult only,Rene,Rene,37,2011
Calabria,Cosenza,CS - PRESIDIO OSPEDALIERO ANNUNZIATA,SOT only,adult only,Rene,Rene,13,2011
Calabria,Reggio Calabria,RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,SOT+HCT,adult only,Rene,Rene,14,2011
Sicilia,Catania,CT - A.O. UNIVERSITARIA DI CATANIA,SOT+HCT,adult+pediatric,Rene,Rene,33,2011
Sicilia,Palermo,PA - Is.Me.T.T.,SOT only,adult+pediatric,Rene,Rene,16,2011
Sicilia,Palermo,PA - P.O. CIVICO E BENFRATELLI,SOT only,adult only,Rene,Rene,36,2011
Sardegna,Cagliari,CA - AZIENDA OSPEDALIERA G. BROTZU,SOT+HCT,adult+pediatric,Rene,Rene,45,2011
Piemonte,Novara,NO - AOU MAGGIORE DELLA CARITA' - NOVARA,SOT only,adult only,Rene,Rene doppio,2,2011
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Rene,Rene doppio,0,2011
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Rene,Rene doppio,2,2011
Lombardia,Bergamo,BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,SOT+HCT,adult only,Rene,Rene doppio,7,2011
Lombardia,Brescia,BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,SOT+HCT,adult+pediatric,Rene,Rene doppio,0,2011
Lombardia,Milano,MI - AO NIGUARDA CA' GRANDA - MILANO,SOT+HCT,adult only,Rene,Rene doppio,7,2011
Lombardia,Milano,MI - IRCCS S. RAFFAELE - MILANO,SOT+HCT,adult+pediatric,Rene,Rene doppio,2,2011
Lombardia,Milano,MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,SOT+HCT,adult only,Rene,Rene doppio,0,2011
Lombardia,Pavia,PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,SOT+HCT,adult+pediatric,Rene,Rene doppio,0,2011
Lombardia,Varese,VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,SOT only,adult only,Rene,Rene doppio,0,2011
Veneto,Padova,PD - AZIENDA OSPEDALIERA DI PADOVA,SOT+HCT,adult+pediatric,Rene,Rene doppio,12,2011
Veneto,Treviso,TV - OSPEDALE CA' FONCELLO - TREVISO,SOT only,adult only,Rene,Rene doppio,4,2011
Veneto,Vicenza,VI - OSPEDALE DI VICENZA,SOT+HCT,adult only,Rene,Rene doppio,4,2011
Veneto,Verona,VR - OSPEDALE CIVILE MAGGIORE - VERONA,SOT+HCT,adult+pediatric,Rene,Rene doppio,21,2011
Friuli Venezia Giulia,Udine,UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,SOT+HCT,adult only,Rene,Rene doppio,4,2011
Friuli Venezia Giulia,Udine,UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,SOT+HCT,adult only,Rene,Rene doppio,0,2011
Liguria,Genova,GE - A.O.U. S. MARTINO - GENOVA,SOT+HCT,adult only,Rene,Rene doppio,6,2011
Emilia-Romagna,Bologna,BO - S.ORSOLA-MALPIGHI - BO,SOT+HCT,adult+pediatric,Rene,Rene doppio,3,2011
Emilia-Romagna,Modena,MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,SOT+HCT,adult only,Rene,Rene doppio,0,2011
Emilia-Romagna,Parma,PR - OSPEDALE MAGGIORE - PARMA,SOT+HCT,adult only,Rene,Rene doppio,0,2011
Toscana,Firenze,FI - A.O.U. CAREGGI - FIRENZE,SOT+HCT,adult only,Rene,Rene doppio,0,2011
Toscana,Pisa,PI - A.O.U. PISANA,SOT+HCT,adult+pediatric,Rene,Rene doppio,4,2011
Toscana,Siena,SI - A.O.U. SENESE - S.M. alle SCOTTE,SOT+HCT,adult only,Rene,Rene doppio,5,2011
Umbria,Perugia,PG - AZIENDA OSPEDALIERA DI PERUGIA,SOT+HCT,adult+pediatric,Rene,Rene doppio,0,2011
Marche,Ancona,AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,SOT+HCT,adult only,Rene,Rene doppio,0,2011
Lazio,Roma,RM - A.O. SAN CAMILLO - FORLANINI,SOT+HCT,adult only,Rene,Rene doppio,5,2011
Lazio,Roma,RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,SOT+HCT,adult only,Rene,Rene doppio,2,2011
Lazio,Roma,RM - OSPEDALE PEDIATRICO BAMBINO GESU',SOT+HCT,pediatric only,Rene,Rene doppio,1,2011
Lazio,Roma,RM - POLICLINICO UMBERTO I - ROMA,SOT+HCT,adult only,Rene,Rene doppio,0,2011
Lazio,Roma,RM - POLICLINICO UMBERTO I - ROMA,SOT+HCT,adult only,Rene,Rene doppio,0,2011
Lazio,Roma,RM - POLICLINICO UNIVERSITARIO A. GEMELLI,SOT+HCT,adult only,Rene,Rene doppio,0,2011
Abruzzo,L’Aquila,AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,SOT only,adult only,Rene,Rene doppio,0,2011
Campania,Napoli,NA - AZIENDA OSPEDALIERA A. CARDARELLI,SOT+HCT,adult only,Rene,Rene doppio,0,2011
Campania,Napoli,NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,SOT+HCT,adult only,Rene,Rene doppio,1,2011
Campania,Salerno,SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SOT+HCT,adult only,Rene,Rene doppio,0,2011
Puglia,Bari,BA - AOU CONSORZIALE POLICLINICO di BARI,SOT+HCT,adult only,Rene,Rene doppio,6,2011
Calabria,Cosenza,CS - PRESIDIO OSPEDALIERO ANNUNZIATA,SOT only,adult only,Rene,Rene doppio,0,2011
Calabria,Reggio Calabria,RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,SOT+HCT,adult only,Rene,Rene doppio,0,2011
Sicilia,Catania,CT - A.O. UNIVERSITARIA DI CATANIA,SOT+HCT,adult+pediatric,Rene,Rene doppio,2,2011
Sicilia,Palermo,PA - Is.Me.T.T.,SOT only,adult+pediatric,Rene,Rene doppio,4,2011
Sicilia,Palermo,PA - P.O. CIVICO E BENFRATELLI,SOT only,adult only,Rene,Rene doppio,0,2011
Sardegna,Cagliari,CA - AZIENDA OSPEDALIERA G. BROTZU,SOT+HCT,adult+pediatric,Rene,Rene doppio,4,2011
Piemonte,Novara,NO - AOU MAGGIORE DELLA CARITA' - NOVARA,SOT only,adult only,Rene,Rene - fegato,0,2011
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Rene,Rene - fegato,0,2011
Piemonte,Torino,"TO - AOU Città della Salute, PO S.G.Battista",SOT+HCT,adult+pediatric,Rene,Rene - fegato,5,2011
Lombardia,Bergamo,BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,SOT+HCT,adult only,Rene,Rene - fegato,2,2011
Lombardia,Brescia,BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,SOT+HCT,adult+pediatric,Rene,Rene - fegato,0,2011
Lombardia,Milano,MI - AO NIGUARDA CA' GRANDA - MILANO,SOT+HCT,adult only,Rene,Rene - fegato,1,2011
Lombardia,Milano,MI - IRCCS S. RAFFAELE - MILANO,SOT+HCT,adult+pediatric,Rene,Rene - fegato,0,2011
Lombardia,Milano,MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,SOT+HCT,adult only,Rene,Rene - fegato,2,2011
Lombardia,Pavia,PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,SOT+HCT,adult+pediatric,Rene,Rene - fegato,0,2011
Lombardia,Varese,VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,SOT only,adult only,Rene,Rene - fegato,0,2011
Veneto,Padova,PD - AZIENDA OSPEDALIERA DI PADOVA,SOT+HCT,adult+pediatric,Rene,Rene - fegato,0,2011
Veneto,Treviso,TV - OSPEDALE CA' FONCELLO - TREVISO,SOT only,adult only,Rene,Rene - fegato,0,2011
Veneto,Vicenza,VI - OSPEDALE DI VICENZA,SOT+HCT,adult only,Rene,Rene - fegato,0,2011
Veneto,Verona,VR - OSPEDALE CIVILE MAGGIORE - VERONA,SOT+HCT,adult+pediatric,Rene,Rene - fegato,0,2011
Friuli Venezia Giulia,Udine,UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,SOT+HCT,adult only,Rene,Rene - fegato,0,2011
Friuli Venezia Giulia,Udine,UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,SOT+HCT,adult only,Rene,Rene - fegato,1,2011
