Struttura trapianto,Città,Organo,Sottotipo,Numero,Anno,Città_nome,Regione
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Cuore,Cuore - fegato,0,2012,Cagliari,Sardegna
"TO - AOU Città della Salute, PO OIRM",TO,Cuore,Cuore - polmone doppio,0,2012,Torino,Piemonte
"TO - AOU Città della Salute, PO S.G.Battista",TO,Cuore,Cuore - polmone doppio,0,2012,Torino,Piemonte
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Cuore,Cuore - polmone doppio,0,2012,Bergamo,Lombardia
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Cuore,Cuore - polmone doppio,0,2012,Milano,Lombardia
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Cuore,Cuore - polmone doppio,0,2012,Pavia,Lombardia
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Cuore,Cuore - polmone doppio,0,2012,Padova,Veneto
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Cuore,Cuore - polmone doppio,0,2012,Verona,Veneto
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Cuore,Cuore - polmone doppio,0,2012,Udine,Friuli Venezia Giulia
BO - S.ORSOLA-MALPIGHI - BO,BO,Cuore,Cuore - polmone doppio,0,2012,Bologna,Emilia-Romagna
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Cuore,Cuore - polmone doppio,0,2012,Siena,Toscana
RM - A.O. SAN CAMILLO - FORLANINI,RM,Cuore,Cuore - polmone doppio,0,2012,Roma,Lazio
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Cuore,Cuore - polmone doppio,1,2012,Roma,Lazio
NA - A. O. MONALDI,NA,Cuore,Cuore - polmone doppio,0,2012,Napoli,Campania
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Cuore,Cuore - polmone doppio,0,2012,Bari,Puglia
PA - Is.Me.T.T.,PA,Cuore,Cuore - polmone doppio,0,2012,Palermo,Sicilia
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Cuore,Cuore - polmone doppio,0,2012,Cagliari,Sardegna
"TO - AOU Città della Salute, PO OIRM",TO,Cuore,Rene - cuore,0,2012,Torino,Piemonte
"TO - AOU Città della Salute, PO S.G.Battista",TO,Cuore,Rene - cuore,0,2012,Torino,Piemonte
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Cuore,Rene - cuore,0,2012,Bergamo,Lombardia
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Cuore,Rene - cuore,0,2012,Milano,Lombardia
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Cuore,Rene - cuore,0,2012,Pavia,Lombardia
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Cuore,Rene - cuore,1,2012,Padova,Veneto
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Cuore,Rene - cuore,0,2012,Verona,Veneto
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Cuore,Rene - cuore,2,2012,Udine,Friuli Venezia Giulia
BO - S.ORSOLA-MALPIGHI - BO,BO,Cuore,Rene - cuore,0,2012,Bologna,Emilia-Romagna
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Cuore,Rene - cuore,0,2012,Siena,Toscana
RM - A.O. SAN CAMILLO - FORLANINI,RM,Cuore,Rene - cuore,0,2012,Roma,Lazio
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Cuore,Rene - cuore,0,2012,Roma,Lazio
NA - A. O. MONALDI,NA,Cuore,Rene - cuore,1,2012,Napoli,Campania
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Cuore,Rene - cuore,0,2012,Bari,Puglia
PA - Is.Me.T.T.,PA,Cuore,Rene - cuore,0,2012,Palermo,Sicilia
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Cuore,Rene - cuore,0,2012,Cagliari,Sardegna
"TO - AOU Città della Salute, PO S.G.Battista",TO,Polmone,Polmone,5,2012,Torino,Piemonte
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Polmone,Polmone,3,2012,Bergamo,Lombardia
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Polmone,Polmone,2,2012,Milano,Lombardia
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Polmone,Polmone,9,2012,Milano,Lombardia
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Polmone,Polmone,4,2012,Pavia,Lombardia
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Polmone,Polmone,3,2012,Padova,Veneto
BO - S.ORSOLA-MALPIGHI - BO,BO,Polmone,Polmone,2,2012,Bologna,Emilia-Romagna
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Polmone,Polmone,3,2012,Siena,Toscana
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Polmone,Polmone,0,2012,Roma,Lazio
RM - POLICLINICO UMBERTO I - ROMA,RM,Polmone,Polmone,4,2012,Roma,Lazio
PA - Is.Me.T.T.,PA,Polmone,Polmone,1,2012,Palermo,Sicilia
"TO - AOU Città della Salute, PO S.G.Battista",TO,Polmone,Polmone doppio,14,2012,Torino,Piemonte
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Polmone,Polmone doppio,4,2012,Bergamo,Lombardia
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Polmone,Polmone doppio,1,2012,Milano,Lombardia
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Polmone,Polmone doppio,6,2012,Milano,Lombardia
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Polmone,Polmone doppio,3,2012,Pavia,Lombardia
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Polmone,Polmone doppio,20,2012,Padova,Veneto
BO - S.ORSOLA-MALPIGHI - BO,BO,Polmone,Polmone doppio,1,2012,Bologna,Emilia-Romagna
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Polmone,Polmone doppio,6,2012,Siena,Toscana
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Polmone,Polmone doppio,0,2012,Roma,Lazio
RM - POLICLINICO UMBERTO I - ROMA,RM,Polmone,Polmone doppio,8,2012,Roma,Lazio
PA - Is.Me.T.T.,PA,Polmone,Polmone doppio,12,2012,Palermo,Sicilia
"TO - AOU Città della Salute, PO S.G.Battista",TO,Polmone,Fegato - pancreas - polmone doppio,0,2012,Torino,Piemonte
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Polmone,Fegato - pancreas - polmone doppio,1,2012,Bergamo,Lombardia
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Polmone,Fegato - pancreas - polmone doppio,0,2012,Milano,Lombardia
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Polmone,Fegato - pancreas - polmone doppio,0,2012,Milano,Lombardia
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Polmone,Fegato - pancreas - polmone doppio,0,2012,Pavia,Lombardia
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Polmone,Fegato - pancreas - polmone doppio,0,2012,Padova,Veneto
BO - S.ORSOLA-MALPIGHI - BO,BO,Polmone,Fegato - pancreas - polmone doppio,0,2012,Bologna,Emilia-Romagna
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Polmone,Fegato - pancreas - polmone doppio,0,2012,Siena,Toscana
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Polmone,Fegato - pancreas - polmone doppio,0,2012,Roma,Lazio
RM - POLICLINICO UMBERTO I - ROMA,RM,Polmone,Fegato - pancreas - polmone doppio,0,2012,Roma,Lazio
PA - Is.Me.T.T.,PA,Polmone,Fegato - pancreas - polmone doppio,0,2012,Palermo,Sicilia
"TO - AOU Città della Salute, PO S.G.Battista",TO,Polmone,Cuore - polmone doppio,0,2012,Torino,Piemonte
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Polmone,Cuore - polmone doppio,0,2012,Bergamo,Lombardia
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Polmone,Cuore - polmone doppio,0,2012,Milano,Lombardia
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Polmone,Cuore - polmone doppio,0,2012,Milano,Lombardia
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Polmone,Cuore - polmone doppio,0,2012,Pavia,Lombardia
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Polmone,Cuore - polmone doppio,0,2012,Padova,Veneto
BO - S.ORSOLA-MALPIGHI - BO,BO,Polmone,Cuore - polmone doppio,0,2012,Bologna,Emilia-Romagna
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Polmone,Cuore - polmone doppio,0,2012,Siena,Toscana
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Polmone,Cuore - polmone doppio,1,2012,Roma,Lazio
RM - POLICLINICO UMBERTO I - ROMA,RM,Polmone,Cuore - polmone doppio,0,2012,Roma,Lazio
PA - Is.Me.T.T.,PA,Polmone,Cuore - polmone doppio,0,2012,Palermo,Sicilia
"TO - AOU Città della Salute, PO S.G.Battista",TO,Pancreas,Pancreas,0,2012,Torino,Piemonte
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Pancreas,Pancreas,0,2012,Bergamo,Lombardia
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Pancreas,Pancreas,1,2012,Milano,Lombardia
MI - IRCCS S. RAFFAELE - MILANO,MI,Pancreas,Pancreas,4,2012,Milano,Lombardia
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Pancreas,Pancreas,0,2012,Padova,Veneto
GE - A.O.U. S. MARTINO - GENOVA,GE,Pancreas,Pancreas,0,2012,Genova,Liguria
PI - A.O.U. PISANA,PI,Pancreas,Pancreas,5,2012,Pisa,Toscana
RM - A.O. SAN CAMILLO - FORLANINI,RM,Pancreas,Pancreas,0,2012,Roma,Lazio
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Pancreas,Pancreas,0,2012,Catania,Sicilia
PA - Is.Me.T.T.,PA,Pancreas,Pancreas,1,2012,Palermo,Sicilia
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Pancreas,Pancreas,0,2012,Cagliari,Sardegna
"TO - AOU Città della Salute, PO S.G.Battista",TO,Pancreas,Rene - pancreas,4,2012,Torino,Piemonte
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Pancreas,Rene - pancreas,1,2012,Bergamo,Lombardia
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Pancreas,Rene - pancreas,6,2012,Milano,Lombardia
MI - IRCCS S. RAFFAELE - MILANO,MI,Pancreas,Rene - pancreas,6,2012,Milano,Lombardia
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Pancreas,Rene - pancreas,10,2012,Padova,Veneto
GE - A.O.U. S. MARTINO - GENOVA,GE,Pancreas,Rene - pancreas,1,2012,Genova,Liguria
PI - A.O.U. PISANA,PI,Pancreas,Rene - pancreas,10,2012,Pisa,Toscana
RM - A.O. SAN CAMILLO - FORLANINI,RM,Pancreas,Rene - pancreas,6,2012,Roma,Lazio
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Pancreas,Rene - pancreas,1,2012,Catania,Sicilia
PA - Is.Me.T.T.,PA,Pancreas,Rene - pancreas,0,2012,Palermo,Sicilia
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Pancreas,Rene - pancreas,8,2012,Cagliari,Sardegna
"TO - AOU Città della Salute, PO S.G.Battista",TO,Pancreas,Fegato - pancreas - polmone doppio,0,2012,Torino,Piemonte
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Pancreas,Fegato - pancreas - polmone doppio,1,2012,Bergamo,Lombardia
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Pancreas,Fegato - pancreas - polmone doppio,0,2012,Milano,Lombardia
MI - IRCCS S. RAFFAELE - MILANO,MI,Pancreas,Fegato - pancreas - polmone doppio,0,2012,Milano,Lombardia
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Pancreas,Fegato - pancreas - polmone doppio,0,2012,Padova,Veneto
GE - A.O.U. S. MARTINO - GENOVA,GE,Pancreas,Fegato - pancreas - polmone doppio,0,2012,Genova,Liguria
PI - A.O.U. PISANA,PI,Pancreas,Fegato - pancreas - polmone doppio,0,2012,Pisa,Toscana
RM - A.O. SAN CAMILLO - FORLANINI,RM,Pancreas,Fegato - pancreas - polmone doppio,0,2012,Roma,Lazio
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Pancreas,Fegato - pancreas - polmone doppio,0,2012,Catania,Sicilia
PA - Is.Me.T.T.,PA,Pancreas,Fegato - pancreas - polmone doppio,0,2012,Palermo,Sicilia
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Pancreas,Fegato - pancreas - polmone doppio,0,2012,Cagliari,Sardegna
"TO - AOU Città della Salute, PO S.G.Battista",TO,Pancreas,Fegato - pancreas,0,2012,Torino,Piemonte
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Pancreas,Fegato - pancreas,2,2012,Bergamo,Lombardia
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Pancreas,Fegato - pancreas,0,2012,Milano,Lombardia
MI - IRCCS S. RAFFAELE - MILANO,MI,Pancreas,Fegato - pancreas,0,2012,Milano,Lombardia
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Pancreas,Fegato - pancreas,0,2012,Padova,Veneto
GE - A.O.U. S. MARTINO - GENOVA,GE,Pancreas,Fegato - pancreas,0,2012,Genova,Liguria
PI - A.O.U. PISANA,PI,Pancreas,Fegato - pancreas,0,2012,Pisa,Toscana
RM - A.O. SAN CAMILLO - FORLANINI,RM,Pancreas,Fegato - pancreas,0,2012,Roma,Lazio
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Pancreas,Fegato - pancreas,0,2012,Catania,Sicilia
PA - Is.Me.T.T.,PA,Pancreas,Fegato - pancreas,0,2012,Palermo,Sicilia
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Pancreas,Fegato - pancreas,0,2012,Cagliari,Sardegna
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene,63,2013,Novara,Piemonte
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene,6,2013,Torino,Piemonte
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene,114,2013,Torino,Piemonte
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene,36,2013,Bergamo,Lombardia
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene,40,2013,Brescia,Lombardia
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene,46,2013,Milano,Lombardia
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene,18,2013,Milano,Lombardia
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene,39,2013,Milano,Lombardia
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene,25,2013,Pavia,Lombardia
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene,41,2013,Varese,Lombardia
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene,64,2013,Padova,Veneto
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene,33,2013,Treviso,Veneto
VI - OSPEDALE DI VICENZA,VI,Rene,Rene,20,2013,Vicenza,Veneto
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene,62,2013,Verona,Veneto
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene,33,2013,Udine,Friuli Venezia Giulia
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene,50,2013,Genova,Liguria
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene,47,2013,Bologna,Emilia-Romagna
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene,21,2013,Modena,Emilia-Romagna
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene,42,2013,Parma,Emilia-Romagna
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene,26,2013,Firenze,Toscana
PI - A.O.U. PISANA,PI,Rene,Rene,22,2013,Pisa,Toscana
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene,36,2013,Siena,Toscana
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene,12,2013,Perugia,Umbria
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene,33,2013,Ancona,Marche
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene,32,2013,Roma,Lazio
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene,39,2013,Roma,Lazio
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene,13,2013,Roma,Lazio
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene,21,2013,Roma,Lazio
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene,6,2013,Roma,Lazio
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene,26,2013,Roma,Lazio
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene,16,2013,L’Aquila,Abruzzo
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,NA,Rene,Rene,27,2013,Napoli,Campania
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene,19,2013,Salerno,Campania
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene,36,2013,Bari,Puglia
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene,13,2013,Cosenza,Calabria
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene,15,2013,Reggio Calabria,Calabria
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene,38,2013,Catania,Sicilia
PA - Is.Me.T.T.,PA,Rene,Rene,18,2013,Palermo,Sicilia
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene,60,2013,Palermo,Sicilia
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene,26,2013,Cagliari,Sardegna
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene doppio,5,2013,Novara,Piemonte
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene doppio,0,2013,Torino,Piemonte
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene doppio,3,2013,Torino,Piemonte
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene doppio,4,2013,Bergamo,Lombardia
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene doppio,0,2013,Brescia,Lombardia
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene doppio,14,2013,Milano,Lombardia
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene doppio,3,2013,Milano,Lombardia
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene doppio,0,2013,Milano,Lombardia
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene doppio,0,2013,Pavia,Lombardia
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene doppio,1,2013,Varese,Lombardia
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene doppio,11,2013,Padova,Veneto
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene doppio,2,2013,Treviso,Veneto
VI - OSPEDALE DI VICENZA,VI,Rene,Rene doppio,5,2013,Vicenza,Veneto
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene doppio,18,2013,Verona,Veneto
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene doppio,0,2013,Udine,Friuli Venezia Giulia
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene doppio,4,2013,Genova,Liguria
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene doppio,3,2013,Bologna,Emilia-Romagna
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene doppio,2,2013,Modena,Emilia-Romagna
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene doppio,1,2013,Parma,Emilia-Romagna
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene doppio,0,2013,Firenze,Toscana
PI - A.O.U. PISANA,PI,Rene,Rene doppio,3,2013,Pisa,Toscana
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene doppio,1,2013,Siena,Toscana
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene doppio,0,2013,Perugia,Umbria
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene doppio,0,2013,Ancona,Marche
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene doppio,3,2013,Roma,Lazio
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene doppio,2,2013,Roma,Lazio
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene doppio,0,2013,Roma,Lazio
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene doppio,0,2013,Roma,Lazio
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene doppio,0,2013,Roma,Lazio
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene doppio,0,2013,Roma,Lazio
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene doppio,0,2013,L’Aquila,Abruzzo
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,NA,Rene,Rene doppio,0,2013,Napoli,Campania
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene doppio,0,2013,Salerno,Campania
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene doppio,1,2013,Bari,Puglia
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene doppio,0,2013,Cosenza,Calabria
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene doppio,0,2013,Reggio Calabria,Calabria
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene doppio,1,2013,Catania,Sicilia
PA - Is.Me.T.T.,PA,Rene,Rene doppio,6,2013,Palermo,Sicilia
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene doppio,0,2013,Palermo,Sicilia
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene doppio,3,2013,Cagliari,Sardegna
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene - fegato,0,2013,Novara,Piemonte
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene - fegato,0,2013,Torino,Piemonte
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene - fegato,4,2013,Torino,Piemonte
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene - fegato,1,2013,Bergamo,Lombardia
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene - fegato,0,2013,Brescia,Lombardia
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene - fegato,1,2013,Milano,Lombardia
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene - fegato,0,2013,Milano,Lombardia
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene - fegato,4,2013,Milano,Lombardia
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene - fegato,0,2013,Pavia,Lombardia
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene - fegato,0,2013,Varese,Lombardia
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene - fegato,0,2013,Padova,Veneto
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene - fegato,0,2013,Treviso,Veneto
VI - OSPEDALE DI VICENZA,VI,Rene,Rene - fegato,0,2013,Vicenza,Veneto
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene - fegato,0,2013,Verona,Veneto
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene - fegato,1,2013,Udine,Friuli Venezia Giulia
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene - fegato,0,2013,Genova,Liguria
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene - fegato,4,2013,Bologna,Emilia-Romagna
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene - fegato,2,2013,Modena,Emilia-Romagna
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene - fegato,0,2013,Parma,Emilia-Romagna
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene - fegato,0,2013,Firenze,Toscana
PI - A.O.U. PISANA,PI,Rene,Rene - fegato,0,2013,Pisa,Toscana
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene - fegato,0,2013,Siena,Toscana
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene - fegato,0,2013,Perugia,Umbria
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene - fegato,1,2013,Ancona,Marche
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene - fegato,0,2013,Roma,Lazio
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene - fegato,1,2013,Roma,Lazio
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene - fegato,0,2013,Roma,Lazio
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene - fegato,3,2013,Roma,Lazio
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene - fegato,0,2013,Roma,Lazio
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene - fegato,0,2013,Roma,Lazio
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene - fegato,0,2013,L’Aquila,Abruzzo
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,NA,Rene,Rene - fegato,0,2013,Napoli,Campania
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene - fegato,0,2013,Salerno,Campania
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene - fegato,0,2013,Bari,Puglia
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene - fegato,0,2013,Cosenza,Calabria
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene - fegato,0,2013,Reggio Calabria,Calabria
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene - fegato,0,2013,Catania,Sicilia
PA - Is.Me.T.T.,PA,Rene,Rene - fegato,1,2013,Palermo,Sicilia
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene - fegato,0,2013,Palermo,Sicilia
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene - fegato,1,2013,Cagliari,Sardegna
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene - pancreas,0,2013,Novara,Piemonte
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene - pancreas,0,2013,Torino,Piemonte
