Struttura trapianto,Città,Organo,Sottotipo,Numero,Anno
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Polmone,Polmone doppio,3,2013
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Polmone,Polmone doppio,15,2013
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Polmone,Polmone doppio,4,2013
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Polmone,Polmone doppio,21,2013
BO - S.ORSOLA-MALPIGHI - BO,BO,Polmone,Polmone doppio,7,2013
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Polmone,Polmone doppio,10,2013
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Polmone,Polmone doppio,2,2013
RM - POLICLINICO UMBERTO I - ROMA,RM,Polmone,Polmone doppio,6,2013
PA - Is.Me.T.T.,PA,Polmone,Polmone doppio,9,2013
"TO - AOU Città della Salute, PO S.G.Battista",TO,Polmone,Fegato - polmone doppio,1,2013
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Polmone,Fegato - polmone doppio,0,2013
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Polmone,Fegato - polmone doppio,0,2013
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Polmone,Fegato - polmone doppio,0,2013
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Polmone,Fegato - polmone doppio,0,2013
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Polmone,Fegato - polmone doppio,0,2013
BO - S.ORSOLA-MALPIGHI - BO,BO,Polmone,Fegato - polmone doppio,0,2013
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Polmone,Fegato - polmone doppio,0,2013
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Polmone,Fegato - polmone doppio,0,2013
RM - POLICLINICO UMBERTO I - ROMA,RM,Polmone,Fegato - polmone doppio,0,2013
PA - Is.Me.T.T.,PA,Polmone,Fegato - polmone doppio,0,2013
"TO - AOU Città della Salute, PO S.G.Battista",TO,Polmone,Cuore - polmone doppio,1,2013
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Polmone,Cuore - polmone doppio,0,2013
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Polmone,Cuore - polmone doppio,0,2013
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Polmone,Cuore - polmone doppio,0,2013
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Polmone,Cuore - polmone doppio,2,2013
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Polmone,Cuore - polmone doppio,0,2013
BO - S.ORSOLA-MALPIGHI - BO,BO,Polmone,Cuore - polmone doppio,0,2013
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Polmone,Cuore - polmone doppio,0,2013
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Polmone,Cuore - polmone doppio,0,2013
RM - POLICLINICO UMBERTO I - ROMA,RM,Polmone,Cuore - polmone doppio,0,2013
PA - Is.Me.T.T.,PA,Polmone,Cuore - polmone doppio,0,2013
"TO - AOU Città della Salute, PO S.G.Battista",TO,Pancreas,Pancreas,1,2013
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Pancreas,Pancreas,0,2013
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Pancreas,Pancreas,2,2013
MI - IRCCS S. RAFFAELE - MILANO,MI,Pancreas,Pancreas,7,2013
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Pancreas,Pancreas,0,2013
GE - A.O.U. S. MARTINO - GENOVA,GE,Pancreas,Pancreas,0,2013
PR - OSPEDALE MAGGIORE - PARMA,PR,Pancreas,Pancreas,0,2013
PI - A.O.U. PISANA,PI,Pancreas,Pancreas,2,2013
RM - A.O. SAN CAMILLO - FORLANINI,RM,Pancreas,Pancreas,0,2013
PA - Is.Me.T.T.,PA,Pancreas,Pancreas,1,2013
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Pancreas,Pancreas,0,2013
"TO - AOU Città della Salute, PO S.G.Battista",TO,Pancreas,Rene - pancreas,4,2013
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Pancreas,Rene - pancreas,3,2013
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Pancreas,Rene - pancreas,2,2013
MI - IRCCS S. RAFFAELE - MILANO,MI,Pancreas,Rene - pancreas,7,2013
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Pancreas,Rene - pancreas,9,2013
GE - A.O.U. S. MARTINO - GENOVA,GE,Pancreas,Rene - pancreas,1,2013
PR - OSPEDALE MAGGIORE - PARMA,PR,Pancreas,Rene - pancreas,2,2013
PI - A.O.U. PISANA,PI,Pancreas,Rene - pancreas,7,2013
RM - A.O. SAN CAMILLO - FORLANINI,RM,Pancreas,Rene - pancreas,2,2013
PA - Is.Me.T.T.,PA,Pancreas,Rene - pancreas,2,2013
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Pancreas,Rene - pancreas,4,2013
"TO - AOU Città della Salute, PO S.G.Battista",TO,Pancreas,Fegato - pancreas,0,2013
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Pancreas,Fegato - pancreas,3,2013
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Pancreas,Fegato - pancreas,0,2013
MI - IRCCS S. RAFFAELE - MILANO,MI,Pancreas,Fegato - pancreas,0,2013
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Pancreas,Fegato - pancreas,0,2013
GE - A.O.U. S. MARTINO - GENOVA,GE,Pancreas,Fegato - pancreas,0,2013
PR - OSPEDALE MAGGIORE - PARMA,PR,Pancreas,Fegato - pancreas,0,2013
PI - A.O.U. PISANA,PI,Pancreas,Fegato - pancreas,0,2013
RM - A.O. SAN CAMILLO - FORLANINI,RM,Pancreas,Fegato - pancreas,0,2013
PA - Is.Me.T.T.,PA,Pancreas,Fegato - pancreas,0,2013
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Pancreas,Fegato - pancreas,0,2013
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene,49,2014
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene,5,2014
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene,99,2014
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene,42,2014
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene,52,2014
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene,53,2014
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene,22,2014
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene,46,2014
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene,28,2014
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene,32,2014
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene,71,2014
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene,32,2014
VI - OSPEDALE DI VICENZA,VI,Rene,Rene,25,2014
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene,81,2014
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene,33,2014
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene,61,2014
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene,41,2014
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene,20,2014
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene,31,2014
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene,27,2014
PI - A.O.U. PISANA,PI,Rene,Rene,25,2014
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene,47,2014
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene,15,2014
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene,42,2014
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene,26,2014
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene,36,2014
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene,15,2014
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene,35,2014
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene,2,2014
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene,46,2014
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene,29,2014
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,NA,Rene,Rene,27,2014
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene,24,2014
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene,50,2014
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene,10,2014
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene,16,2014
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene,38,2014
PA - Is.Me.T.T.,PA,Rene,Rene,17,2014
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene,55,2014
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene,34,2014
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene doppio,4,2014
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene doppio,0,2014
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene doppio,0,2014
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene doppio,6,2014
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene doppio,0,2014
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene doppio,7,2014
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene doppio,5,2014
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene doppio,2,2014
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene doppio,0,2014
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene doppio,2,2014
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene doppio,15,2014
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene doppio,4,2014
VI - OSPEDALE DI VICENZA,VI,Rene,Rene doppio,3,2014
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene doppio,10,2014
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene doppio,0,2014
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene doppio,10,2014
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene doppio,7,2014
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene doppio,1,2014
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene doppio,1,2014
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene doppio,0,2014
PI - A.O.U. PISANA,PI,Rene,Rene doppio,3,2014
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene doppio,3,2014
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene doppio,0,2014
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene doppio,0,2014
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene doppio,2,2014
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene doppio,3,2014
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene doppio,0,2014
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene doppio,0,2014
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene doppio,0,2014
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene doppio,1,2014
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene doppio,0,2014
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,NA,Rene,Rene doppio,1,2014
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene doppio,0,2014
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene doppio,2,2014
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene doppio,0,2014
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene doppio,0,2014
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene doppio,0,2014
PA - Is.Me.T.T.,PA,Rene,Rene doppio,1,2014
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene doppio,0,2014
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene doppio,0,2014
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene - pancreas,0,2014
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene - pancreas,0,2014
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene - pancreas,2,2014
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene - pancreas,0,2014
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene - pancreas,0,2014
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene - pancreas,1,2014
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene - pancreas,6,2014
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene - pancreas,0,2014
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene - pancreas,0,2014
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene - pancreas,0,2014
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene - pancreas,7,2014
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene - pancreas,0,2014
VI - OSPEDALE DI VICENZA,VI,Rene,Rene - pancreas,0,2014
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene - pancreas,0,2014
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene - pancreas,0,2014
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene - pancreas,1,2014
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene - pancreas,0,2014
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene - pancreas,0,2014
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene - pancreas,3,2014
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene - pancreas,0,2014
PI - A.O.U. PISANA,PI,Rene,Rene - pancreas,4,2014
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene - pancreas,0,2014
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene - pancreas,0,2014
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene - pancreas,0,2014
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene - pancreas,1,2014
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene - pancreas,0,2014
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene - pancreas,0,2014
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene - pancreas,0,2014
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene - pancreas,0,2014
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene - pancreas,0,2014
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene - pancreas,0,2014
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,NA,Rene,Rene - pancreas,0,2014
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene - pancreas,0,2014
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene - pancreas,0,2014
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene - pancreas,0,2014
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene - pancreas,0,2014
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene - pancreas,0,2014
PA - Is.Me.T.T.,PA,Rene,Rene - pancreas,0,2014
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene - pancreas,0,2014
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene - pancreas,4,2014
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene - fegato,0,2014
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene - fegato,0,2014
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene - fegato,4,2014
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene - fegato,0,2014
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene - fegato,0,2014
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene - fegato,1,2014
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene - fegato,0,2014
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene - fegato,3,2014
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene - fegato,0,2014
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene - fegato,0,2014
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene - fegato,1,2014
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene - fegato,0,2014
VI - OSPEDALE DI VICENZA,VI,Rene,Rene - fegato,0,2014
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene - fegato,1,2014
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene - fegato,0,2014
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene - fegato,0,2014
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene - fegato,4,2014
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene - fegato,1,2014
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene - fegato,0,2014
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene - fegato,0,2014
PI - A.O.U. PISANA,PI,Rene,Rene - fegato,1,2014
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene - fegato,0,2014
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene - fegato,0,2014
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene - fegato,0,2014
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene - fegato,0,2014
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene - fegato,3,2014
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene - fegato,3,2014
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene - fegato,0,2014
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene - fegato,0,2014
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene - fegato,0,2014
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene - fegato,0,2014
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,NA,Rene,Rene - fegato,0,2014
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene - fegato,0,2014
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene - fegato,0,2014
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene - fegato,0,2014
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene - fegato,0,2014
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene - fegato,0,2014
PA - Is.Me.T.T.,PA,Rene,Rene - fegato,1,2014
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene - fegato,0,2014
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene - fegato,0,2014
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene - cuore,0,2014
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene - cuore,0,2014
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene - cuore,1,2014
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene - cuore,0,2014
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene - cuore,0,2014
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene - cuore,0,2014
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene - cuore,0,2014
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene - cuore,0,2014
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene - cuore,0,2014
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene - cuore,0,2014
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene - cuore,0,2014
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene - cuore,0,2014
VI - OSPEDALE DI VICENZA,VI,Rene,Rene - cuore,0,2014
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene - cuore,0,2014
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene - cuore,1,2014
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene - cuore,0,2014
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene - cuore,1,2014
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene - cuore,0,2014
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene - cuore,0,2014
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene - cuore,0,2014
PI - A.O.U. PISANA,PI,Rene,Rene - cuore,0,2014
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene - cuore,0,2014
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene - cuore,0,2014
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene - cuore,0,2014
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene - cuore,0,2014
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene - cuore,0,2014
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene - cuore,0,2014
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene - cuore,0,2014
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene - cuore,0,2014
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene - cuore,0,2014
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene - cuore,0,2014
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,NA,Rene,Rene - cuore,0,2014
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene - cuore,0,2014
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene - cuore,0,2014
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene - cuore,0,2014
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene - cuore,0,2014
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene - cuore,0,2014
PA - Is.Me.T.T.,PA,Rene,Rene - cuore,0,2014
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene - cuore,0,2014
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene - cuore,0,2014
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene doppio - fegato,0,2014
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene doppio - fegato,0,2014
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene doppio - fegato,0,2014
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene doppio - fegato,0,2014
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene doppio - fegato,0,2014
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene doppio - fegato,0,2014
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene doppio - fegato,0,2014
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene doppio - fegato,0,2014
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene doppio - fegato,0,2014
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene doppio - fegato,0,2014
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene doppio - fegato,0,2014
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene doppio - fegato,0,2014
VI - OSPEDALE DI VICENZA,VI,Rene,Rene doppio - fegato,0,2014
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene doppio - fegato,0,2014
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene doppio - fegato,0,2014
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene doppio - fegato,0,2014
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene doppio - fegato,2,2014
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene doppio - fegato,0,2014
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene doppio - fegato,0,2014
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene doppio - fegato,0,2014
PI - A.O.U. PISANA,PI,Rene,Rene doppio - fegato,0,2014
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene doppio - fegato,0,2014
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene doppio - fegato,0,2014
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene doppio - fegato,0,2014
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene doppio - fegato,0,2014
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene doppio - fegato,0,2014
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene doppio - fegato,0,2014
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene doppio - fegato,0,2014
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene doppio - fegato,0,2014
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene doppio - fegato,0,2014
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene doppio - fegato,0,2014
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,NA,Rene,Rene doppio - fegato,0,2014
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene doppio - fegato,0,2014
